path;initialize;begin editing;save;insert document;finish editing;check;start auto finish editing;check mandatory fields;check spelling;check consistency;end auto finish editing;discard;remove document;change department
initialize,begin editing,save,insert document,save,save,save,save,save,save,save,finish editing;no data;005days 01h 44m 37s;004days 09h 00m 43s;000days 00h 00m 13s;000days 00h 00m 23s;;;;;;;;;
initialize,begin editing,insert document,save,save,finish editing;no data;000days 07h 59m 53s;012days 11h 28m 43s;020days 09h 44m 58s;028days 02h 27m 45s;;;;;;;;;
initialize,begin editing,insert document,save,check,check,save,check,finish editing,save,check,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;028days 12h 31m 11s;009days 01h 02m 47s;000days 00h 00m 04s;018days 04h 07m 02s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;;;000days 00h 00m 00s;;001days 00h 21m 57s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;006days 12h 12m 17s;006days 23h 43m 47s;000days 00h 00m 01s;000days 00h 00m 09s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 02s;000days 00h 00m 02s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;049days 17h 30m 14s;167days 21h 02m 14s;000days 09h 56m 09s;;001days 13h 37m 33s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,finish editing,finish editing,save,finish editing;no data;000days 00h 00m 01s;097days 14h 58m 13s;028days 21h 06m 37s;021days 15h 04m 02s;;001days 10h 21m 48s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing;no data;000days 00h 00m 00s;000days 00h 04m 00s;193days 12h 30m 46s;021days 16h 27m 35s;;000days 11h 18m 23s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;000days 00h 00m 40s;050days 12h 33m 01s;000days 05h 59m 00s;;048days 07h 53m 14s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 05s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 01m 31s;246days 23h 42m 13s;000days 00h 00m 02s;000days 00h 00m 20s;001days 10h 37m 35s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;000days 00h 01m 27s;126days 09h 46m 47s;001days 05h 46m 37s;046days 23h 35m 48s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing;no data;000days 00h 00m 00s;;;042days 04h 44m 59s;;002days 12h 59m 36s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,check,finish editing,save,finish editing;no data;000days 00h 00m 01s;004days 21h 02m 32s;110days 17h 34m 34s;001days 11h 14m 55s;065days 13h 18m 13s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,check,check,check,check,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;252days 05h 21m 43s;000days 00h 04m 42s;000days 00h 00m 16s;033days 06h 08m 29s;;;;;;;;
initialize,begin editing,insert document,save,check,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;061days 18h 12m 21s;034days 16h 44m 14s;000days 00h 00m 11s;011days 23h 41m 59s;;;;;;;;
initialize,begin editing,save,check,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;017days 00h 41m 35s;265days 13h 11m 16s;000days 00h 00m 08s;000days 00h 00m 04s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;044days 02h 09m 02s;179days 02h 30m 17s;000days 00h 00m 09s;;000days 15h 39m 34s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;103days 19h 52m 48s;033days 23h 33m 26s;006days 10h 46m 52s;000days 00h 00m 04s;;;;;;;;
initialize,begin editing,save,check,save,finish editing;no data;009days 00h 06m 59s;000days 11h 00m 52s;;000days 00h 13m 32s;039days 06h 16m 54s;;;;;;;;
initialize,insert document,save,begin editing,save,check,save,finish editing;no data;007days 18h 15m 49s;013days 09h 10m 54s;000days 00h 00m 23s;000days 00h 00m 11s;000days 00h 00m 08s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;113days 22h 24m 44s;;000days 03h 40m 30s;;001days 00h 39m 49s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;035days 01h 05m 15s;030days 23h 05m 23s;000days 00h 00m 02s;033days 23h 46m 15s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,check,finish editing,save,finish editing,save,finish editing,insert document,save;no data;000days 00h 00m 00s;126days 16h 53m 09s;072days 00h 46m 56s;000days 00h 00m 04s;000days 00h 00m 15s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;104days 22h 27m 30s;;000days 00h 00m 13s;064days 06h 42m 51s;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 01s;022days 11h 54m 23s;029days 01h 37m 05s;028days 17h 26m 31s;;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,save,check,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,save,save,check,finish editing,save,save,save,save,save,check,save,check,finish editing;no data;000days 00h 00m 01s;006days 11h 30m 06s;115days 06h 48m 14s;064days 20h 24m 11s;000days 00h 46m 19s;;;;;;;;
initialize,begin editing,insert document,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,finish editing,finish editing,save,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;077days 04h 23m 56s;025days 23h 41m 30s;001days 03h 16m 40s;022days 00h 48m 32s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;081days 19h 41m 05s;282days 01h 26m 56s;000days 00h 00m 02s;000days 00h 00m 17s;000days 00h 44m 03s;000days 00h 00m 01s;000days 00h 00m 02s;000days 00h 00m 03s;000days 00h 00m 00s;;;
initialize,begin editing,check,insert document,save,check,finish editing,save,check,save,finish editing,save,save,check,save,save,check,finish editing;no data;000days 00h 00m 00s;009days 08h 01m 44s;000days 00h 00m 53s;000days 00h 00m 45s;012days 04h 40m 13s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;065days 09h 50m 37s;139days 09h 03m 14s;000days 02h 06m 25s;;000days 10h 35m 37s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
