path;initialize;begin editing;save;insert document;finish editing;check;start auto finish editing;check mandatory fields;check spelling;check consistency;end auto finish editing;discard;remove document;change department
initialize,begin editing,save,insert document,save,save,save,save,save,save,save,finish editing;no data;no data;012days 08h 32m 55s;no data;no data;;;;;;;;;
initialize,begin editing,insert document,save,save,finish editing;no data;001days 03h 31m 09s;024days 21h 07m 46s;015days 20h 36m 01s;040days 18h 08m 54s;;;;;;;;;
initialize,begin editing,insert document,save,check,check,save,check,finish editing,save,check,check,finish editing,save,check,finish editing;no data;no data;055days 00h 00m 57s;no data;000days 00h 00m 01s;038days 12h 21m 59s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;000days 00h 00m 00s;;;000days 00h 00m 00s;;007days 13h 56m 42s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,save,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;no data;no data;009days 04h 54m 19s;no data;no data;no data;no data;no data;no data;no data;no data;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;109days 11h 56m 12s;141days 20h 12m 54s;006days 23h 25m 39s;;010days 20h 13m 05s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,finish editing,finish editing,save,finish editing;no data;no data;169days 02h 04m 01s;no data;048days 08h 40m 05s;;002days 00h 35m 50s;000days 00h 00m 01s;000days 00h 00m 04s;000days 00h 00m 06s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing;no data;000days 00h 00m 00s;000days 00h 05m 12s;205days 15h 26m 20s;085days 16h 20m 15s;;000days 23h 11m 41s;000days 00h 00m 00s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;000days 00h 00m 54s;044days 05h 37m 52s;000days 23h 55m 39s;;046days 12h 09m 34s;000days 00h 00m 01s;000days 00h 00m 03s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing;no data;000days 00h 00m 00s;000days 00h 03m 44s;198days 02h 27m 42s;000days 00h 00m 06s;000days 00h 00m 50s;010days 16h 33m 31s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,check,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;000days 00h 02m 08s;149days 02h 58m 37s;007days 23h 02m 59s;029days 03h 14m 31s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing;no data;000days 00h 00m 00s;;;053days 07h 43m 48s;;012days 23h 00m 22s;000days 00h 00m 00s;000days 00h 00m 01s;000days 00h 00m 01s;000days 00h 00m 00s;;;
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,check,finish editing,save,finish editing;no data;no data;008days 10h 38m 22s;no data;003days 06h 48m 34s;092days 16h 58m 36s;no data;no data;no data;no data;no data;;;
initialize,begin editing,check,check,check,check,insert document,save,finish editing,save,finish editing;no data;000days 00h 00m 00s;293days 07h 22m 34s;000days 00h 01m 53s;000days 00h 00m 18s;031days 06h 13m 47s;;;;;;;;
initialize,begin editing,insert document,save,check,check,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;125days 18h 14m 42s;035days 01h 13m 37s;000days 00h 00m 13s;030days 15h 21m 51s;;;;;;;;
initialize,begin editing,save,check,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;020days 00h 57m 55s;187days 10h 03m 30s;000days 00h 00m 04s;000days 00h 00m 01s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing;no data;000days 00h 00m 00s;058days 06h 31m 08s;158days 11h 31m 31s;000days 00h 00m 25s;;001days 02h 15m 55s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;124days 16h 55m 54s;no data;012days 20h 56m 58s;000days 00h 00m 00s;;;;;;;;
initialize,begin editing,save,check,save,finish editing;no data;no data;000days 15h 31m 38s;;no data;no data;;;;;;;;
initialize,insert document,save,begin editing,save,check,save,finish editing;no data;009days 23h 27m 26s;020days 17h 33m 31s;000days 00h 00m 24s;000days 00h 00m 02s;000days 00h 00m 02s;;;;;;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;no data;000days 00h 00m 00s;057days 17h 21m 46s;;004days 01h 57m 23s;;006days 09h 08m 19s;000days 00h 00m 00s;000days 00h 00m 02s;000days 00h 00m 04s;000days 00h 00m 00s;;;
initialize,begin editing,insert document,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;no data;000days 00h 00m 00s;050days 21h 37m 24s;000days 01h 11m 13s;000days 00h 00m 02s;052days 15h 47m 04s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;000days 00h 00m 00s;;;
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,check,finish editing,save,finish editing,save,finish editing,insert document,save;no data;no data;228days 04h 57m 55s;022days 13h 19m 47s;000days 00h 00m 04s;000days 00h 00m 06s;no data;no data;no data;no data;no data;;;
initialize,begin editing,check,finish editing,save,finish editing;no data;000days 00h 00m 00s;031days 04h 42m 11s;;000days 00h 00m 11s;031days 02h 41m 02s;;;;;;;;
initialize,begin editing,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;no data;no data;025days 16h 24m 48s;no data;063days 14h 31m 26s;;no data;no data;no data;no data;no data;;;
initialize,begin editing,insert document,save,save,check,finish editing,save,finish editing,finish editing,save,finish editing,finish editing,save,save,check,finish editing,save,save,save,save,save,check,save,check,finish editing;no data;no data;015days 02h 52m 47s;no data;155days 23h 09m 29s;000days 01h 23m 42s;;;;;;;;
