path;fail rate in %;bot share in %
initialize,begin editing,insert document,save,save,finish editing,save,finish editing;7.69;25.96
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing;7.69;25.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing;7.14;77.78
initialize,begin editing,save,finish editing,insert document,save,finish editing,save,finish editing;66.67;22.22
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;66.67;16.67
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;50.0;15.38
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;50.0;14.29
initialize,begin editing,save,finish editing,insert document,save,finish editing;50.0;25.0
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;50.0;13.33
initialize,begin editing,check,insert document,save,finish editing,save,finish editing,save,finish editing;50.0;20.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing;50.0;70.0
initialize,begin editing,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;50.0;64.29
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;50.0;12.5
initialize,begin editing,finish editing,insert document,save,save,finish editing,save,finish editing;50.0;22.22
initialize,begin editing,insert document,save,check,finish editing,finish editing,save,finish editing;50.0;22.22
initialize,begin editing,finish editing,insert document,save,check,finish editing;50.0;28.57
initialize,begin editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;50.0;56.25
initialize,begin editing,finish editing,finish editing,finish editing;50.0;40.0
initialize,insert document,save,begin editing,save,save,finish editing,insert document,save,finish editing;50.0;20.0
initialize,begin editing,finish editing,insert document,save,finish editing,save,check,finish editing;50.0;22.22
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing;5.26;22.22
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;40.0;20.0
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;40.0;18.18
initialize,begin editing,insert document,save,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing;33.33;15.38
initialize,begin editing,check,finish editing,insert document,save,check,finish editing,save,check,finish editing;33.33;18.18
initialize,begin editing,insert document,save,check,finish editing,save,finish editing;3.45;26.72
initialize,begin editing,finish editing,insert document,save,finish editing;28.57;33.33
initialize,begin editing,save,insert document,save,finish editing,save,finish editing;25.0;18.75
initialize,begin editing,check,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;25.0;15.38
initialize,begin editing,insert document,save,finish editing,finish editing,save,finish editing;25.0;25.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,finish editing;25.0;66.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;25.0;72.73
initialize,begin editing,finish editing,finish editing;25.0;50.0
initialize,begin editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;25.0;14.29
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,finish editing;25.0;22.22
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;25.0;53.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;2.94;66.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing;2.53;73.68
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,check,finish editing;14.29;18.18
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,finish editing;12.5;73.68
initialize,begin editing,finish editing,insert document,save,finish editing,check,save,check,finish editing;100.0;20.0
initialize,begin editing,finish editing,insert document,save,finish editing,save,check,finish editing,finish editing,finish editing,save,finish editing,save,finish editing;100.0;13.33
initialize,begin editing,finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,check,check,finish editing;100.0;9.09
initialize,begin editing,check,finish editing,insert document,save,check,finish editing,finish editing,save,save,check,finish editing,save,check,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,check,finish editing,finish editing,check,finish editing,save,check,finish editing;100.0;25.71
